PLAYER_NAME,def_par,CONTESTED_SHOTS,DEFLECTIONS,LOOSE_BALLS_RECOVERED,BOX_OUTS
Aaron Gordon,5.43,5.22,1.58,0.62,0.62
Alperen Sengun,10.45,9.46,2.36,0.74,2.62
Anfernee Simons,3.3,3.54,0.75,0.71,0.07
Anthony Davis,11.920000000000002,12.02,2.56,1.06,2.29
Anthony Edwards,4.609999999999999,2.88,1.96,0.96,0.25
Austin Reaves,5.21,5.04,1.25,1.0,0.44
Bam Adebayo,9.24,6.48,1.93,0.81,3.26
Bojan Bogdanovic,4.425,3.93,1.21,0.68,0.57
Bradley Beal,5.13,4.48,2.04,0.63,0.22
Brandon Ingram,4.984999999999999,5.23,1.51,0.6,0.26
Brandon Miller,5.609999999999999,5.84,1.64,0.57,0.48
Brook Lopez,12.58,17.58,1.42,0.56,1.81
CJ McCollum,5.694999999999999,5.19,1.7,0.97,0.43
Cade Cunningham,5.82,6.08,1.75,0.55,0.48
Chet Holmgren,10.145,12.69,1.27,0.53,2.0
Coby White,5.745,6.65,1.2,1.02,0.2
D'Angelo Russell,4.609999999999999,3.0,2.0,0.63,0.48
Damian Lillard,4.675,2.91,2.45,0.64,0.13
Darius Garland,4.4,2.16,2.2,0.88,0.24
De'Aaron Fox,6.63,4.0,3.52,0.91,0.2
DeMar DeRozan,5.355,4.27,2.0,0.65,0.57
Deandre Ayton,8.535,9.41,1.71,0.68,1.44
Dejounte Murray,5.92,3.96,2.96,0.78,0.2
Dennis Schroder,4.12,3.08,1.55,0.78,0.25
Derrick White,6.465,6.79,2.3,0.47,0.3
Desmond Bane,6.21,5.78,1.92,0.97,0.43
Devin Booker,5.210000000000001,4.5,1.36,1.12,0.48
Devin Vassell,4.2299999999999995,2.76,1.96,0.61,0.28
Dillon Brooks,4.68,4.56,1.54,0.37,0.49
Domantas Sabonis,9.08,8.32,1.66,0.82,2.44
Donovan Mitchell,6.225,3.03,3.1,1.18,0.43
Evan Mobley,9.72,10.92,1.96,0.65,1.65
Franz Wagner,5.78,4.86,2.19,0.72,0.44
Fred VanVleet,5.605,3.89,2.64,0.49,0.53
Giannis Antetokounmpo,7.395000000000001,6.53,2.49,0.82,0.82
Gordon Hayward,5.640000000000001,4.96,2.0,1.0,0.16
Grayson Allen,6.2700000000000005,5.56,2.22,0.91,0.36
Harrison Barnes,5.27,5.74,1.34,0.42,0.64
Isaiah Stewart,7.16,9.74,0.51,0.49,1.29
Jabari Smith Jr.,6.630000000000001,6.62,1.67,0.56,1.09
Jalen Brunson,4.76,4.24,1.49,0.84,0.31
Jalen Duren,8.48,9.2,0.97,0.77,2.14
Jalen Green,3.6799999999999997,3.72,1.22,0.36,0.24
Jalen Johnson,6.7,6.92,2.24,0.49,0.51
Jalen Williams,6.62,4.4,2.89,0.62,0.91
Jamal Murray,5.59,6.14,1.73,0.76,0.03
James Harden,5.84,4.78,2.07,0.78,0.6
Jaren Jackson Jr.,8.105,8.47,2.34,0.74,0.79
Jarrett Allen,9.225,10.41,1.41,0.66,1.95
Jaylen Brown,5.825,4.55,1.72,0.96,0.87
Jayson Tatum,5.25,3.56,2.1,0.81,0.56
Jerami Grant,4.885000000000001,4.19,1.56,0.49,0.74
Jimmy Butler,5.35,3.46,2.08,0.86,0.68
Joel Embiid,10.780000000000001,12.44,1.53,1.12,1.91
Jrue Holiday,6.470000000000001,5.28,2.33,0.91,0.59
Julius Randle,5.5200000000000005,5.48,1.07,0.8,0.91
Karl-Anthony Towns,7.140000000000001,7.36,1.36,0.86,1.24
Kawhi Leonard,7.744999999999999,5.37,3.04,1.26,0.76
Keegan Murray,5.630000000000001,5.26,1.52,0.74,0.74
Keldon Johnson,4.885,4.19,1.51,0.68,0.6
Kentavious Caldwell-Pope,4.625,2.51,2.37,0.84,0.16
Kevin Durant,6.415,6.25,1.68,0.86,0.75
Klay Thompson,3.995,4.11,1.2,0.54,0.2
Kyle Kuzma,4.06,5.0,0.84,0.33,0.39
Kyrie Irving,5.739999999999999,3.76,2.55,1.14,0.17
LaMelo Ball,5.09,2.82,2.86,0.73,0.09
Lauri Markkanen,7.095,8.29,1.43,0.62,0.9
LeBron James,5.194999999999999,3.83,1.8,0.59,0.89
Luka Doncic,7.175,5.19,2.7,1.21,0.67
Marcus Smart,6.749999999999999,3.8,2.95,1.05,0.85
Max Strus,5.09,5.04,1.61,0.49,0.47
Michael Porter Jr.,4.115,4.39,0.98,0.45,0.49
Mikal Bridges,5.1,4.92,1.68,0.58,0.38
Miles Bridges,6.69,7.38,1.54,0.59,0.87
Nikola Jokic,9.665000000000001,7.69,3.0,0.8,2.02
Nikola Vucevic,9.03,9.04,1.85,0.57,2.09
