PlayerName,Team,Age,GP,W,L,W%,MIN_PG,FGM_PG,FGA_PG,FG%,3PM_PG,3PA_PG,3P%,FTM_PG,FTA_PG,FT%,OREB_PG,DREB_PG,TREB_PG,AST_PG,TO_PG,STL_PG,BLK_PG,BLKA_PG,PF_PG,PFD_PG,PPG,PlusMinus,NBAFantasyPoints,DoubleDoubles,TripleDoubles,WNBAFantasyPoints,OFF_Rating,DEF_Rating,Net_Rating,AST_Ratio,OREB%,DREB%,TREB%,TOV%,USG%,Win_Par,P/M,Off_Par,OffRat_Par,Def_Par,TS%,Eff_Par,FTMiss,FGMiss,PER,Imp_Par,Totals
Aaron Gordon,DEN,28.0,45,30,15,0.667,31.9,5.4,9.9,0.543,0.6,1.8,0.305,2.3,3.7,0.63,2.6,4.0,6.6,3.1,1.3,0.8,0.7,0.7,1.9,3.1,13.6,229,1314.1,9,0,1205.0,118.5,111.6,6.9,19.6,0.092,0.139,0.116,8.338,0.175,4.8,7.3848,11.784799999999999,15.142399999999999,3.6,58.986814712005554,10.322692574600971,1.4000000000000004,4.5,18.53248589341693,18.53248589341693,52.3975784680179
Alperen Sengun,HOU,21.0,50,23,27,0.46,32.6,8.6,15.8,0.542,0.6,1.9,0.289,3.8,5.3,0.719,2.8,6.6,9.3,5.1,2.6,1.2,0.7,1.0,3.3,5.2,21.6,80,2168.4,23,1,2013.0,112.5,111.2,1.3,19.6,0.093,0.217,0.155,10.05,0.276,2.54,11.707200000000002,17.007199999999997,14.753599999999999,5.2,59.56320317670417,16.439444076770354,1.5,7.200000000000001,26.069453987730057,26.069453987730057,65.00249806450041
Anfernee Simons,POR,24.0,28,7,21,0.25,33.9,8.1,18.3,0.441,3.4,8.7,0.391,3.7,4.1,0.904,0.5,3.0,3.6,5.3,2.5,0.5,0.1,1.1,2.0,3.1,23.2,-245,975.0,2,0,1029.0,107.9,120.7,-12.8,18.9,0.017,0.108,0.059,9.077,0.287,0.42,10.2312,13.531199999999998,10.715600000000002,1.6,57.699960206924,16.559888579387184,0.39999999999999947,10.200000000000001,21.230958702064903,21.230958702064903,50.52644728145209
Anthony Davis,LAL,30.0,48,26,22,0.542,35.9,9.4,17.0,0.554,0.4,1.2,0.298,5.5,6.8,0.809,3.1,9.1,12.2,3.9,2.1,1.1,2.4,1.1,2.5,5.4,24.7,6,2576.6,40,2,2314.0,113.6,113.7,-0.1,14.9,0.101,0.272,0.189,8.029,0.262,3.38,13.683800000000002,18.5838,16.091899999999995,10.1,61.774709883953584,16.18497398959584,1.2999999999999998,7.6,30.374437325905287,30.374437325905287,76.13131131550111
Anthony Edwards,MIN,22.0,48,33,15,0.688,35.1,8.9,19.1,0.466,2.5,6.5,0.394,5.5,6.5,0.838,0.6,4.6,5.2,5.1,3.4,1.2,0.5,0.8,2.0,4.1,25.9,324,1991.9,6,0,2024.0,115.3,106.0,9.2,16.8,0.022,0.142,0.087,11.231,0.32,5.45,12.0694,14.369399999999997,14.834699999999998,4.3,58.97085610200363,18.870673952641162,1.0,10.200000000000001,22.84404843304843,22.84404843304843,66.2994223856896
Austin Reaves,LAL,25.0,52,27,25,0.519,30.9,5.3,11.0,0.486,1.7,4.7,0.355,3.2,3.7,0.863,0.7,3.2,4.0,5.3,2.1,0.9,0.2,0.5,1.8,3.1,15.5,-94,1523.7,4,0,1487.0,112.5,115.3,-2.7,26.5,0.027,0.115,0.072,10.636,0.206,3.36,7.5329999999999995,11.432999999999998,11.9665,2.500000000000001,61.371555273994296,12.642540386442825,0.5,5.7,18.828802588996762,18.828802588996762,49.297842975439586
Bam Adebayo,MIA,26.0,42,23,19,0.548,34.5,7.6,15.0,0.509,0.0,0.3,0.091,5.0,6.4,0.773,2.2,8.3,10.5,4.0,2.4,1.0,1.0,0.7,2.5,5.5,20.2,-37,1778.7,27,1,1626.0,108.9,109.4,-0.5,16.6,0.07,0.273,0.17,10.016,0.262,3.02,10.2818,14.0818,11.490900000000003,7.800000000000001,56.69061517736866,14.85294117647059,1.4000000000000004,7.4,22.69286666666666,22.69286666666666,59.856707843137265
Bojan Bogdanovic,DET,34.0,28,3,25,0.107,32.9,7.1,15.2,0.468,3.1,7.4,0.415,2.9,3.7,0.779,0.5,2.9,3.4,2.5,2.2,0.8,0.1,1.0,2.0,3.0,20.2,-251,802.3,1,0,870.0,111.4,123.4,-12.0,11.7,0.016,0.104,0.058,10.417,0.247,0.08,9.4536,10.253599999999999,10.826800000000002,1.8000000000000003,60.01901592583789,14.82469693368196,0.8000000000000003,8.1,17.406741641337383,17.406741641337383,44.93823857501934
Bradley Beal,PHX,30.0,27,17,10,0.63,33.5,7.2,14.6,0.494,1.5,4.5,0.339,2.5,3.2,0.77,0.8,3.6,4.4,4.6,2.4,0.9,0.3,0.8,2.7,2.3,18.4,49,853.3,2,0,843.0,115.9,113.3,2.6,19.8,0.03,0.119,0.077,10.64,0.24,2.57,9.089599999999999,12.089599999999999,13.994800000000001,2.0999999999999996,57.47126436781609,13.793103448275861,0.7000000000000002,7.3999999999999995,17.584361194029842,17.584361194029842,50.04226464230571
Brandon Ingram,NOP,26.0,47,27,20,0.574,33.2,8.1,16.4,0.495,1.4,4.0,0.366,4.0,5.0,0.803,0.7,4.4,5.1,5.7,2.4,0.8,0.5,0.7,2.2,3.8,21.7,145,1779.6,3,1,1718.0,115.8,111.9,3.9,21.3,0.024,0.148,0.087,9.077,0.273,3.72,10.7415,14.7415,15.27075,3.5,58.333333333333336,15.925000000000002,1.0,8.299999999999999,22.668822289156633,22.668822289156633,61.08457228915663
